id,marker,start,end,title,desc,pic,pos,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,citation
,,66,109,,,,,,80,,,dot,,,"91.3598,29.5209",se,story:minors-1,
,,66,109,,,,,,90,,,dot,,,"91.2264,29.4682",se,story:minors-1,
,,66,109,,,,,,100,,,dot,,,"91.078,29.5029",se,story:minors-1,
,,66,109,,,,,,105,,,dot,,,"90.9749,29.6153",se,story:minors-1,
,,66,109,,,,,,110,,,dot,,,"90.9804,29.7634",se,story:minors-1,
,,66,109,,,,,,120,,,dot,,,"91.0959,29.8862",se,story:minors-1,
,,66,109,,,,,,125,,,dot,,,"91.2704,29.9696",se,story:minors-1,
,,66,109,,,,,,130,,,dot,,,"91.4532,29.9112",se,story:minors-1,
,,66,109,,,,,,135,,,dot,,,"91.5824,29.7777",se,story:14th-1,
,,66,109,,,,,,75,,,dot,,,"91.581,29.6213",se,story:next-1,
ava-1,story,,,Avalokiteśvara,"<p>Avalokiteśvara, the bodhisattva of compassion, is one of the most well-known bodhisattvas in the Buddhist tradition. The worship of the bodhisattvas, also known as beings of enlightenment, is a distinctive feature of Mahāyana Buddhism. A bodhisattva is a spiritually realized being who is on the path to becoming a Buddha, one who has discovered true wisdom and attained nirvana. Avalokiteśvara is worshipped throughout Buddhist Asia and is Tibet’s patron deity. </p><img src=""https://farm5.staticflickr.com/4541/38688200022_3544735c60_o_d.jpg” width=""100%”>
<p>Avalokiteśvara plays a central role in many traditional accounts, being depicted as the progenitor of the Tibetan people and also as instrumental in the spread of the dharma in Tibet. When the Tibetan plateau was first formed, its only inhabitants were a monkey and an ogress. The monkey was an incarnation of Avalokiteśvara who was peaceful and contemplative, and focused on mediation. The ogress was lustful and emotionally untamed. After some hesitation on the part of the monkey, the two finally got together and produced six children. </p>
<p>Tibetans today see themselves as descendants of the monkey and the ogress. While society was still primitive, Buddhism was far too complicated for the people to understand, so Avalokiteśvara helped the people to eventually reach a level of maturity where they could embrace dharma over time. </p><p>Buddhism is said to have appeared in Tibet during the reign of the 23rd monarch of the Yarlung dynasty, Totori Nyentsen (c. fourth century). Buddhist texts and relics are said to have fallen from the sky in Sanskrit, consecrated to Avalokiteśvara. The arrival of these holy texts was planned by Avalokiteśvara and marked the beginning of Buddhism in Tibet. However, during the reign of Songsten Gampo (seventh century) who was the first of three religious kings and an incarnation of Avalokiteśvara, Buddhism was firmly established (Powers). </p>
<p>In Tibet, the Dalai Lama is considered to be a manifestation of this bodhisattva. A bodhisattva is an individual who in on the path to becoming a Buddha. A Buddha is one who has discovered true wisdom and attained nirvana. In Tibet, anyone who aspires to reach awakening is considered to be a bodhisattva. Om Maņi Padme Hūm is the most important and well-known mantra associated with Avalokiteśvara, who is Tibet’s patron deity. </p><p>For religious practitioners, the mantra is a form of the name of Avalokiteśvara and the innermost heart of Avalokiteśvara. By chanting the mantra, one hopes to see Avalokiteśvara and appropriate the bodhisattva’s power, developing in this way great compassion and ultimately achieving liberation. Click link(here,http://religion.oxfordre.com/view/10.1093/acrefore/9780199340378.001.0001/acrefore-9780199340378-e-167) for more information.</p><p>In Tibet, anyone who aspires to reach awakening is considered to be a bodhisattva. Tibetan Buddhism teaches its followers that we are all potential Buddhas, encouraging them to develop the characteristics of those who are enlightened by practicing meditation. There is great emphasis on the lama, the Tibetan equivalent of guru. Lamas are spiritual teachers whose long life of study and practice allows them to be placed in the role of bestowers of initiations and esoteric teachings. Tibetan Buddhists believe that a deceased lama can intentionally reincarnate in the body of a child in order to continue his or her spiritual activities. Click link(here,https://www.sakya.org/introtibetanbuddhism.html) for more information.</p>

",,,,,,,,,,,hide,,
3rd-1,story,,,The Third Dalai Lama,"<img src=https://farm5.staticflickr.com/4586/38665125636_9ebe0b6de4_o_d.jpg” width=”50%”<br><p>The Third Dalai Lama, Sonam Gyatso (1543-1588), was a great spiritual master and scholar. Sonam Gyatso gained the reputation as “Virupa of Tibet” because of his efforts to prevent floods in the Jokhang, the most sacred temple in Lhasa (the reference here is to the famous exploits of great mahasiddha Virupa in controlling water). Sonam Gyatso conducted flood-averting rituals and aided with the construction of dikes. In 1563, he taught monks in the Sera, Drepung and Gawadong monasteries in Lhasa to help to repair dikes, and to protect Lhasa on the last day of the Great Prayer Festival. He clearly played a key role in acting as the protector of Lhasa.</p><p>A powerful dynasty emerged in Tibet in the middle of the sixteenth century. The rulers of that dynasty, the Tsang kings, became important patrons of the Kagyu School, a rival of the Gelug School, the school of the Dalai Lamas. The Gelug School tried to compensate for the disadvantage through seeking the patronage of Mongol leaders. </p><p>The prestige of Sonam Gyatso led Altan Khan, an important Mongol leader, to invite him to Mongolia, inaugurating an alliance that had profound implications for the authority of the Dalai Lama incarnation line. When Altan Khan met Gyatso in 1578, he was very impressed with him, and gave him the title “Dalai” meaning “ocean” in order to symbolize that he was an ocean of learning and wisdom. This is how the title Dalai Lama began and was retroactively conferred on Sonam Gyatso’s predecessors.</p>",,,,,,,,,,,hide,,
5th-1,story,,,The Fifth Dalai Lama,"<img src=""https://farm5.staticflickr.com/4543/26945265709_cc141bee3b_b_d.jpg"" width=""100%""><p>Ngawang Lobsang Gyatso came to power in 1642, and became the most dynamic and influential of the early Dalai Lamas, earning his title as “The Great Fifth” (Powers). His rise would bring Buddhism to the center of Tibetan life. The Fifth Dalai Lama paved the way for the reestablishment of a centralized government in <p>Tibet through his alliance with Gushri Khan, an important Mongol leader. The new government established by the Fifth Dalai Lama was named Ganden Podrang after the residence of the Dalai Lamas in Drepung Monastery. The Ganden Podrang government ruled the vast stretches of territory under its jurisdiction through a small bureaucracy in a kind of federation system. In that context, the many religious festivals were important in keeping the cohesion of the kingdom. </p><p>The Great Fifth himself and his regent Sangye Gyatso played a huge role in the creation of rituals and state cosmology through their many writings and government actions. The Fifth Dalai Lama build his own public image through these writings, tying together prominent Tibetan mythic and historic figures to the lineage of the Dalai Lamas. Those connections were further deepened in rituals, festivals and the creation of artistic objects and architecture. </p><p>The Fifth Dalai Lama had a tumultuous childhood. Shortly after his birth, his father became involved in a plot against the Tsang king, resulting in his arrest in death and 1626. In 1618, the year he was arrested, Central Tibet and Tsang fought deathly battles, possibly as a result of disagreements between the Gelug and Kagyu schools. In the early 1630s, representatives from the Sera, Drepung and Ganden schools contacted Mongol leaders around the borders of Tibet, which would eventually lead to the conquest of political power by the Gelug School. </p><p>Sonam Chöpel was one of these representatives, and was primarily responsible for discovering the Fifth Dalai Lama. In the Fifth’s writings, Chöpel is seen as a great mediator between the lama and Gushri Khan who was the young leader of the Qosot Mongols. After Gushri Khan took control of the Tsang region between 1637 and 1641, he and Sonam Chöpel organized a welcoming party to greet the Fifth at Dechen, between Lhasa and Shigatse. Khan offered the Fifth many gifts, and a few weeks later a formal ceremony was held in the Samdrubtse Castle, the old headquarters of the Tsang dynasty. </p><p>The Fifth Dalai Lama and the Gelug School would be able to establish a long-term governmental structure and politically unify an important part of the Tibetan cultural territory. Chöpel, Khan and the Dalai Lama decided to build the Potala Palace, which would become one of the main symbols of the new Tibetan government. The Fifth Dalai Lama had intense mystical visions, largely as a result of his studying at the Nyingma School and personal past connections to Avalokiteśvara, Songsten Gampo, Padmasambhava and Atisha Dipamkara. Overall, he hoped to bring a new centralized government through the assimilation of symbolic modalities prevalent in the Tibetan imaginary of the time.</p>",,,,,,,,,,,hide,,
14th-1,story,,,The Fourteenth Dalai Lama,"<img src=""https://farm5.staticflickr.com/4527/38669016296_38966efa43_b_d.jpg"" width=""100%""><p>Tenzin Gyatso, The Fourteenth Dalai Lama is the current Dalai Lama. He was born on July 6, 1935 in northeastern Tibet, and recognized as the reincarnation of the Thirteenth Dalai Lama when he was two years old. At age six, the Fourteenth Dalai Lama began his monastic education with the greatest effort towards Buddhist philosophy. When he turned twenty-three years old, he took his final philosophy exams in the Jokhang Temple and was awarded the Geshe Lharampa degree, which is equal to the highest doctorate in Buddhist philosophy. In 1950, the year the Chinese occupation started in Tibet, he was formally enthroned as political and spiritual leader of the country according to Tibetan protocol. A few years later, in 1956, the Chinese would try to incorporate his political capital by appointing him Chairman of the recently-established Preparatory Committee for the Autonomous Region of Tibet (PCART). The political situation in Tibet forced him to escape into exile in 1959. Since 1960, he has lived in Dharamsala in northern India. Click link(here,https://www.dalailama.com/the-dalai-lama/biography-and-daily-life/brief-biography) for more information.</p>iframe(https://www.youtube.com/embed/RT6lxn2_zWY,400)<br>iframe(https://www.youtube.com/embed/l531heFf5y0?start=2384,400)",,,,,,,,,,,hide,,
minors-1,story,66,,The 14 Dalai Lamas,"<p>There have been 14 Dalai Lamas. since the 15th century and they are the emanations of Avalokiteśvara, the bodhisattva of compassion. <i>There is more information on Dalai Lamas that have images on their circles, shown here by clicking on them.</i></p> pic(https://farm5.staticflickr.com/4549/37767520385_fc6cc5ffc3_o_d.jpg)<b>The First Dalai Lama was Gendun Drubpa (1391-1474)</b>. He founded the Tashilhunpo monastery in Shigatse, Tsang. Tashilhunpo became a pivotal point in central Tibet between two other Gelug monasteries, providing homes for thousands of monks. Drubpa played a huge role in the Gelug School’s rise to power. The personal and institutional renown that he developed through his scholarly and spiritual accomplishments awarded him great recognition as a politically important lama.<br><br>pic(https://farm5.staticflickr.com/4556/38622872122_13128a4394_o_d.png)<b>The Second Dalai Lama, Gendun Gyatso (1475-1542)</b> was recognized as a reincarnation of Gendun Drubpa in 1475. He built many monasteries, both small and large including Chokhorgyal, which is 90 miles southeast of Lhasa. Gyatso served as abbot of Tashilhunpo and Drepung monasteries. With this role, he made Lhasa the center of operations for the Dalai Lamas to come. In addition, he built a residence in Drepung, Ganden Podrang that would later come to inspire the Fifth Dalai Lama in establishing the name of the government. Gyatso was similar to the First Dalai Lama in that he also had many spiritual and scholarly accomplishments, allowing them both to become major players in the patron-priest relationship style of doing politics in.<br><br>pic(https://farm5.staticflickr.com/4580/38598998456_6fccdff6f1_z_d.jpg)<b>The Third Dalai Lama, Sonam Gyatso (1543-1588),</b> was a great spiritual master and scholar. Sonam Gyatso gained the reputation as “Virupa of Tibet” because of his efforts to prevent floods in the Jokhang, the most sacred temple in Lhasa (the reference here is to the famous exploits of great mahasiddha Virupa in controlling water). Sonam Gyatso conducted flood-averting rituals and aided with the construction of dikes. In 1563, he taught monks in the Sera, Drepung and Gawadong monasteries in Lhasa to help to repair dikes, and to protect Lhasa on the last day of the Great Prayer Festival. He clearly played a key role in acting as the protector of Lhasa.<br><br>pic(https://farm5.staticflickr.com/4584/38599001846_fd9e35be18_z_d.jpg)<b>Fourth Dalai Lama, Yonten Gyatso</b>, was the great-grandson of Altan Khan was recognized as the Fourth Dalai Lama in 1588. He lived a short life – he died in 1616 at the age of 28 “under mysterious circumstances.” However, he was still accomplished in his short life. He helped to politically strengthen the Gelug School through his ties to his great-grandfather. Bringing Mongol blood into the powerful Dalai Lama line propelled the Tsang kings to later put a ban on the recognition of the next incarnation in the Dalai Lama’s line.<br><br>pic(https://farm5.staticflickr.com/4578/38655048561_a75e53da80_b_d.jpg)<b>The Fifth Dalai Lama, Ngawang Lobsang Gyatso came to power in 1642</b>, and became the most dynamic and influential of the early Dalai Lamas, earning his title as “The Great Fifth” (Powers). His rise would bring Buddhism to the center of Tibetan life. The Fifth Dalai Lama paved the way for the reestablishment of a centralized government in <p>Tibet through his alliance with Gushri Khan, an important Mongol leader. The new government established by the Fifth Dalai Lama was named Ganden Podrang after the residence of the Dalai Lamas in Drepung Monastery. <br><br>pic(https://farm5.staticflickr.com/4530/37789913695_8f599081fb_o_d.png)<b>The Sixth Dalai Lama: Tsangyang Gyatso, was born in 1683</b> in the family of the terton Padma Lingpa and Tsewang Lhamo. Sangye Gyatso, the last regent of the Fifth Dalai Lama, concealed the death of the Tibetan leader for fifteen years.  Hence, even though he discovered the Sixth Dalai Lama when he was five years old, Sangye Gyatso raised and educated him in secret. It was only in 1697 that Tsangyang Gyatso was formally recognized as the Dalai Lama. At that point, the death of the Fifth Dalai Lama could no longer be hidden. Tsangyang Gyatso was the first Dalai Lama to live as a layman. He is known to be a poet, fond of alcohol and brothels in Shol, a village to the south of the Potala Palace.<br><br>pic(https://farm5.staticflickr.com/4544/24782799398_1d3587e061_b_d.jpg)<b>The Seventh Dalai Lama, Kelzang Gyatso was born in 1708. </b>At eight years old he was escorted to Kumbum by a Chinese-Tibetan-Mongol cavalry.  In 1720, he was enthroned in the Potala Palace, and was fully ordinated in 1726. When the Seventh Dalai Lama reached the age of 43, he created a council of ministers in order to administer the Tibetan government. This also allowed him to become to spiritual and political leader of Tibet. He wrote many books, with focus on the tantra. He died in 1757, but Tibetan citizens were quite fond of him for his simple and unblemished life.<br><br>pic(https://farm5.staticflickr.com/4516/38622876702_a23e25ca30_z_d.jpg)<b>Jampel Gyatso  was the Eighth Dalai Lama (1758-1804). </b>During his time as Dalai Lama, an army from Nepal invaded Tibet. The Eighth Dalai Lama had to rely on the help of the Chinese army to defeat the invaders from Nepal. In 1781, the Eighth Dalai Lama took full responsibility of the government after resisting for quite sometime, as he was focused on his own education and spiritual practice. <br><br>pic(https://farm5.staticflickr.com/4549/38655055761_1ca24bedc2_b_d.jpg)<b>The Ninth Dalai Lama, Lungtok Gyatso (1805-1815)</b> is known for dying very young. When he was born in a village near the Denchokor Monastery, many thought he was an orphan, but other sources are able to identify his parents. He was brought to Lhasa and enthroned in 1808. In 1811, the Ninth Dalai Lama held the first meeting between a Dalai Lama and a British citizen. He was meeting with Thomas Manning, who just opened a medical clinic in Lhasa. In 1815, at the age of 9, the Dalai Lama caught a cold, and it unfortunately took his life. <br><br>pic(https://farm5.staticflickr.com/4515/38598999896_729e0cedfb_o_d.png)<b>Tsultrim Gyatso was the Tenth Dalai Lama (1816-1837)</b> and was born into an important Tibetan noble family. He was chosen out of 6 candidates to become the Tenth Dalai Lama, but before he was enthroned, the regent who enthrones the Dalai Lama died. Once he became Dalai Lama, he was given several different tutors, and started studying sutra and tantra beginning at age 10. In 1834, an epidemic broke out in Lhasa, and the Dalai Lama had to be confined to the Potala, and he died at age 22. <br><br>pic(https://farm5.staticflickr.com/4562/38622869512_8b015865eb_o_d.png)<b>Khedrup Gyatso (1838-1856) was recognized as the Eleventh Dalai Lama</b> in 1840, and was enthroned 2 years later. He was born in the same village as the Seventh Dalai Lama. During his reign, Chinese influence over Tibet weakened as a result of the wars of Ladakh, Opium Wars and Taiping Rebellion. This would allow the Twelfth Dalai Lama to protect Tibetan culture from the west more thoroughly. Unfortunately, only in 1856, one year after he assumed full control of the government, he died. <br><br>pic(https://farm5.staticflickr.com/4559/24782803858_3ae0cd5e09_o_d.png)<b>Trinle Gyatso (1857-1875) was one of three candidates to become the Twelfth Dalai Lama</b>, and upon coming to Lhasa, he was able to identify personal objects of the Eleventh Dalai Lama, indicating that he was the reincarnation. When he turned five years old, he was enthroned, and became primary monk at age nine. He started to attend the annual Lhasa Monlam in 1868, and was the first Dalai Lama to do so. At age 13, he took full control of the government. At age 19, he entered nirvana at the Potala palace, and his corpse is preserved there. <br><br>pic(https://farm5.staticflickr.com/4577/38622877682_a6ef95bee0_o_d.png)<b>Thirteenth Dalai Lama: Tubten Gyatso (1876-1933) </b>Tubten Gyatso was discovered when he was two years old, and arrived in Lhasa at that time. One year later, the Dalai Lama was formally enthroned. When the Dalai Lama turned six years old, he began his religious training. Unfortunately, the Thirteenth Dalai Lama had to deal with the British presence in India. In 1885, the British attempted to send mission to Lhasa, but Tibet refused their military’s attempt at entering. In 1888, the two armies had their first armed conflict after fighting over land. This led to the “Anglo-Chinese Convention Relating to Sikkim and Tibet.” The Dalai Lama was hesitant about assuming political power until he reached age 20. In fact, he continued to show disinclination towards taking on political duties until 1895, when the National Assembly of the Tibetan Government called on him to assume power.  The peace broke two years into his reign, as the Chinese launched a military attack to attempt to gain control of Nyarong, an area governed by Lhasa. The Thirteenth Dalai Lama decided to dispatch a secret mission, leading to the eventual withdrawal of the Chinese soldiers.  At age 24, the Dalai Lama started having recurring dreams, seeing his life in constant danger. Later he would find out that his regent, the Ninth Demo, was trying to murder him using a pair of “enchanted boots.” During his lifetime, the Thirteenth Dalai Lama did pilgrimage to holy places in Tibet, and later in other countries. While traveling, the Thirteenth Dalai Lama was exposed to transformations occurring around the world, which showed him that perhaps Tibet was lagging behind. As a result, he attempted to bring political and social reform to Tibet. <br><br>pic(https://farm5.staticflickr.com/4581/38623754922_f46bcc7801_z_d.jpg)<b>Tenzin Gyatso, The Fourteenth Dalai Lama is the current Dalai Lama.</b> He was born on July 6, 1935 in northeastern Tibet, and recognized as the reincarnation of the Thirteenth Dalai Lama when he was two years old. At age six, the Fourteenth Dalai Lama began his monastic education with the greatest effort towards Buddhist philosophy. When he turned twenty-three years old, he took his final philosophy exams in the Jokhang Temple and was awarded the Geshe Lharampa degree, which is equal to the highest doctorate in Buddhist philosophy. In 1950, the year the Chinese occupation started in Tibet, he was formally enthroned as political and spiritual leader of the country according to Tibetan protocol. A few years later, in 1956, the Chinese would try to incorporate his political capital by appointing him Chairman of the recently-established Preparatory Committee for the Autonomous Region of Tibet (PCART). The political situation in Tibet forced him to escape into exile in 1959. Since 1960, he has lived in Dharamsala in northern India.",,2,,,,,,,,"91.2471,29.7318,153",,,
next-1,story,,,The Next Dalai Lama ,"<img src=""https://farm5.staticflickr.com/4547/38669194266_049406b97a_b_d.jpg"" width=""100%""><p>In 1969, the Fourteenth Dalai Lama made clear that recognizing a reincarnation following his life will be a decision for the Tibetans, the Mongolians, and the Himalayans. In September 2011, the Fourteenth Dalai Lama declared that when he is ninety years old, he would assess whether the institution of the Dalai Lama should continue after him.<p></p> He noted that if a Fifteenth Dalai Lama is recognized, the officers of the Dalai Lama’s Ganden Podrang Trust would hold the primary responsibility. He also said that he would leave clear instructions and that without legitimate methods, no recognition should be given to a chosen Dalai Lama for political reasons, including any reasons from China. Click link(here,https://www.dalailama.com/the-dalai-lama/biography-and-daily-life/brief-biography) for more information.</p>",,,,,,,,,,"91.2471,29.7318,153",hide,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
