start,end,title,desc,pic,pos,marker,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,id,citation,tags
01/1925,12/2011,Château de la Guette,"The children arrive at Château de la Guette, located outside of Paris in Villeneuve-Saint-Denis (Seine-et-Marne).",,,,#363997,,,,Diamond,,,"2.774872, 48.820297, 2000",,"where: 2.774872, 48.820297, 2000",g-guette,,
01/1925,12/2011,"Hôtel des Anglais, La Bourboule",The children flee from Château de la Guette to Hôtel des Anglais in La Bourboule (Puy-de-Dôme) to avoid the German occupation of northern France.,,,,#363997,,,,Diamond,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",g-bourboule,,
01/1925,12/2011,United States,Some of the La Guette children immigrated to the United States in 1941 or at another point during or after the war.,,,,#363997,,,,Diamond,,,"-100, 40, 2000",,"where: -100, 40, 2000",g-unitedstates,,
01/1925,12/2011,Israel,Some of the La Guette children immigrated to then-Palestine or Israel.,,,,#363997,,,,Diamond,,,"35, 31, 2000",,"where: 35, 31, 2000",g-israel,,
01/1925,12/2011,Canada,Some of the La Guette children immigrated to Canada.,,,,#363997,,,,Diamond,,,"-95, 60, 2000",,"where: -95, 60, 2000",g-canada,,
01/1925,12/2011,England,Some of the La Guette children immigrated to England.,,,,#363997,,,,Diamond,,,"-0.116667, 51.5, 2000",,"where: -0.116667, 51.5, 2000",g-england,,
01/1925,12/2011,Australia,Some of the La Guette children immigrated to Australia.,,,,#363997,,,,Diamond,,,"133, -25, 2000",,"where: 133, -25, 2000",g-australia,,
01/1925,12/2011,Mexico,Some of the La Guette children immigrated to Mexico.,,,,#363997,,,,Diamond,,,"-102, 23, 2000",,"where: -102, 23, 2000",g-mexico,,
,,,,,,,,,,,,,,,,,,,
,,Kindertransport Page,,,,,,,,,,,,,,,,,
3/13/1939,3/14/1939,Vienna,The children assemble at the Westbahnhof train station in Vienna and leave for France.,,4,Diamond,#363997,,,,,,,"16.3377, 48.1968, 2000",,"where: 16.3377, 48.1968, 2000",k-vileave,,
3/13/1939,3/14/1939,Palatinate,The children assemble at the train station in the Palatinate and leave for France.,,3,Diamond,#363997,,,,,,,"7.4680, 49.6330, 2000",,"where: 7.467993, 49.632963, 2000",k-paleave,,
3/13/1939,3/14/1939,Berlin,The children assemble at the train station in Berlin and leave for France.,,2,Diamond,#363997,,,,,,,"13.3761, 52.5090, 2000",,"where: 13.376145, 52.508960, 2000",k-beleave,,
3/30/1939,5/2/1940,Château de la Guette,"The children arrive at Château de la Guette, located outside of Paris in Villeneuve-Saint-Denis (Seine-et-Marne).",,1,Diamond,#363997,,,,,,,"2.774872, 48.820297, 2000",,"where: 2.774872, 48.820297, 2000",k-guette,,
,,,,,,,,,,,,,,,,,,,
,,Life at La Guette Page,,,,,,,,,,,,,,,,,
3/30/1939,5/2/1940,Château de la Guette,"The children live at Château de la Guette, a Rothschild family estate located outside of Paris in Villeneuve-Saint-Denis (Seine-et-Marne).",,,Diamond,#363997,,,,,,,"2.774872, 48.820297, 2000",,"where: 2.774872, 48.820297, 2000",c-guette,,
,,,,,,,,,,,,,,,,,,,
,,Other Placements from La Guette,,,,,,,,,,,,,,,,,
01/1925,12/2015,La Guette,,,,,#363997,,,,Diamond,,,"2.774872, 48.820297, 2000",,"where: 2.774872, 48.820297, 2000",o-guette,,
01/1925,12/2015,Saint-Briac,,,,,black,,,,Star,,,"-2.1328, 48.6211, 2000",,"where: -2.1328, 48.6211, 2000",o-brittany,,
01/1925,12/2015,Clamart,,,,,black,,,,Star,,,"2.258707, 48.786407, 2000",,"where: 2.258707, 48.786407, 2000",o-clamart,,
,,,,,,,,,,,,,,,,,,,
,,Life at Hotel des Anglais,,,,,,,,,,,,,,,,,
3/30/1939,5/2/1940,Château de la Guette,"The children lived at Château de la Guette, a Rothschild family estate located outside of Paris in Villeneuve-Saint-Denis (Seine-et-Marne).",,3,Diamond,#363997,,80,,,,,"2.774872, 48.820297, 2000",,"where: 2.774872, 48.820297, 2000",a-guette,,
5/2/1940,,"Hôtel des Anglais, La Bourboule",The children flee from Château de la Guette to Hôtel des Anglais in La Bourboule (Puy-de-Dôme) to avoid the German occupation of northern France.,,2,Diamond,#363997,,,,,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",a-bourboule,,
,,,,,,,,,,,,,,,,,,,
,,Correspondence via Aunt Elisabeth,,,,,,,,,,,,,,,,,
05/1940,,Children in La Bourboule,,,,Diamond,orange,,,,,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",f-bourboule,,
06/1940,,"Aunt Elisabeth in Stäfa, Switzerland",,,,Diamond,red,,,,,,,"8.716667, 47.233333, 2000",,"where: 8.716667, 47.233333, 2000",f-stafa,,
07/1940,,Family in Germany,,,,Diamond,green,,,,,,,"9, 51, 2000",,"where: 9, 51, 2000",f-germany,,
07/1940,,Family in Austria,,,,Diamond,green,,,,,,,"16.366667, 48.2, 2000",,"where: 16.366667, 48.2, 2000",f-austria,,
,,,,,,,,,,,,,,,,,,,
,,Trip to Gurs,,,,,,,,,,,,,,,,,
4/08/1941,,Gurs,"A group of La Guette children travels to the French concentration camp Gurs to visit their families, who had been deported from Nazi Germany to France. The children spend the day with their families, in some cases for the last time.",,2,Diamond,#363997,,,,,,,"-0.752337, 43.287012, 2000",,"where: -0.752337, 43.287012, 2000",j-gurs,,
5/1940,,"Hôtel des Anglais, La Bourboule",The children were living at Hôtel des Anglais in La Bourboule (Puy-de-Dôme) when they went to visit the concentration camp Gurs. After traveling to and spending time with their families in the camp they returned to Hôtel des Anglais.,,3,Diamond,#363997,,80,,,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",j-bourboule,,
,,,,,,,,,,,,,,,,,,,
,,,"Other Placements from Hôtel des Anglais, September and October 1941",,,,,,,,,,,,,,,,
01/1925,12/2015,,"Hôtel des Anglais, La Bourboule",,,Diamond,blue,,70,,,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",d-anglais,,
01/1925,12/2015,,<b>Nice</b> (Alpes-Maritimes): École du Parc Impérial (3 La Guette boys) and École Hôtelière (2 La Guette boys),,,Star,black,,80,,,,,"7.252391, 43.706331, 2000",,"where: 7.252391, 43.706331, 2000",d-nice,,
01/1925,12/2015,,<b>Hyères</b> (Var): École d'Agriculture (4 La Guette boys),,,Star,black,,80,,,,,"6.1316, 43.1199, 2000",,"where: 6.1316, 43.1199, 2000",d-var,,
01/1925,12/2015,,<b>Brive-la-Gaillard</b> (Corrèze): École Pratique d'Industrie et d'Artisanat Rural (14 La Guette boys),,,Star,black,,80,,,,,"1.496842, 45.150318, 2000",,"where: 1.496842, 45.150318, 2000",d-rural,,
01/1925,12/2015,,<b>Dieulefit</b> (Drôme): École de Beauvallon (6 La Guette boys and 2 La Guette girls),,,Star,black,,80,,,,,"5.093193, 44.523524, 2000",,"where: 5.093193, 44.523524, 2000",d-drome,,
01/1925,12/2015,,<b>Champcevinel</b> (Dordogne): Domaine de Borie-Brut (2 La Guette boys),,,Star,black,,80,,,,,"0.706274, 45.227743, 2000",,"where: 0.706274, 45.227743, 2000",d-dordogne,,
01/1925,12/2015,,<b>La Bourboule</b> (Puy-de-Dôme): Various placements in hotels and farms and one with a carpenter (6 La Guette boys and 4 La Guette girls),,,Star,black,,70,,,,,"2.74, 45.5892, 2000",,"where: 2.74, 45.5892, 2000",d-bourboule,,
01/1925,12/2015,,"<b>Boulouris-sur-Mer, Saint-Raphaël</b> (Var): Institut de Plein Air de Boulouris-sur-Mer (34 of the La Guette children)",,,Star,black,,80,,,,,"6.7684, 43.4252, 2000",,"where: 6.7684, 43.4252, 2000",d-surmer,,
01/1925,12/2015,,<b>Clermont-Ferrand</b> (Puy-de-Dôme): École Primaire Superieure Professionnelle et Hôtelière de Jeunes Filles (8 La Guette girls) and École Pratique Amédée-Gasquet (2 La Guette boys),,,Star,black,,80,,,,,"3.0824, 45.7831, 2000",,"where: 3.0824, 45.7831, 2000",d-clermont,,
,,,,,,,,,,,,,,,,,,,
,,,"Other Placements from Hôtel des Anglais, January 1942",,,,,,,,,,,,,,,,
01/1925,12/2015,,"École Professionnelle et Hôtelière de Jeunes Filles, Clermont-Ferrand (Puy-de-Dôme): 15 or 16 of the La Guette teenage girls",,,Star,black,,80,,,,,"3.084947, 45.781487, 2000",,"where: 3.084947, 45.781487, 2000",m-clermont,,
01/1925,12/2015,,"École Professionnelle et Hôtelière Amédée Gasquet, Clermont-Ferrand (Puy-de-Dôme): 5 of the La Guette teenage boys",,,Star,black,,80,,,,,"3.077780, 45.778331, 2000",,"where: 3.077780, 45.778331, 2000",m-gasquet,,
01/1925,12/2015,,"École Pratique d'Artisanat Rural, Brive-la-Gaillard (Corrèze): 12 of the La Guette teenage boys",,,Star,black,,80,,,,,"1.496842, 45.150318, 2000",,"where: 1.496842, 45.150318, 2000",m-pratique,,
01/1925,12/2015,,"École du Parc Impérial, Nice (Alpes-Maritimes): 3 of the La Guette teenage boys",,,Star,black,,80,,,,,"7.252391, 43.706331, 2000",,"where: 7.252391, 43.706331, 2000",m-parc,,
01/1925,12/2015,,"École Hôtelière, Nice (Alpes-Maritimes): 3 of the La Guette teenage boys",,,Star,black,,80,,,,,"7.211779, 43.668348, 2000",,"where: 7.211779, 43.668348, 2000",m-hoteliere,,
01/1925,12/2015,,"Institut de Plein Air de Boulouris-sur-Mer, Boulouris-sur-Mer (Saint-Raphaël): 1 of the La Guette teenage boys",,,Star,black,,80,,,,,"6.807113, 43.425413, 2000",,"where: 6.807113, 43.425413, 2000",m-pleinair,,
01/1925,12/2015,,"Domaine de Borie-Brut, Champcevinel (Dordogne): 2 of the La Guette teenage boys",,,Star,black,,80,,,,,"0.706274, 45.227743, 2000",,"where: 0.706274, 45.227743, 2000",m-champcevinel,,
01/1925,12/2015,,"École de Beauvallon, Dieulefit (Drôme): 3 of the La Guette teenage boys",,,Star,black,,80,,,,,"5.093193, 44.523524, 2000",,"where: 5.093193, 44.523524, 2000",m-beauvallon,,
01/1925,12/2015,,"Domaine de Charry (Éclaireurs Israélites), near Moissac (Tarn-et-Garonne): 2 of the La Guette teenage boys",,,Star,black,,80,,,,,"1.078811, 44.137132,  2000",,"where: 1.078811, 44.137132,  2000",m-charry,,
01/1925,12/2015,,"Hôtel des Anglais, La Bourboule",,,Diamond,blue,,80,,,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",m-anglais,,
,,,,,,,,,,,,,,,,,,,
,,Wartime Dispersion: Immigrating to the United States,,,,,,,,,,,,,,,,,
05/1940,05/31/1941,Hôtel des Anglais,Visas were secured for 35 La Guette children to leave Hôtel des Anglais in La Bourboule and immigrate to the United States. The children left in the summer of 1941 in two different groups.,,5,Diamond,#363997,,,,,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",x-bourboule,,
05/31/1941,05/31/1941,Marseille,"The children leaving for the United States went to Marseille, where they met with the other children and adult caretakers who would accompany them to the United States.",,4,Diamond,#363997,,,,,,,"5.37, 43.2964, 2000",,"where: 5.37, 43.2964, 2000",x-marseille,,
06/02/1941,06/02/1941,Madrid,The children traveled by train through Spain on their way to the United States.,,3,Diamond,#363997,,,,,,,"-3.7038, 40.4168, 2000",,"where: -3.7038, 40.4168, 2000",x-madrid,,
06/03/1941,06/10/1941,Lisbon,"After going through Spain, the children arrived in Portugal. The group stayed in Lisbon, Portugal for a week before leaving on the ship to go to the United States.",,2,Diamond,#363997,,,,,,,"-9.1386, 38.7230, 2000",,"where: -9.1386, 38.7230, 2000",x-lisbon,,
06/21/1941,12/2015,New York City,"The first group of La Guette children who went on the SS <i>Mouzinho</i> to the United States arrived in New York City on June 21, 1941. The second group disembarked from the SS <i>Mouzinho</i> on September 2, 1941.",,1,Diamond,#363997,,,,,,,"-74.041723, 40.699398, 2000",,"where: -74.041723, 40.699398, 2000",x-usa,,
,,,,,,,,,,,,,,,,,,,
,,Alice S.'s Journey,,,,,,,,,,,,,,,,,
05/1926,03/09/1939,,"<b>Edesheim</b>: Alice was born in 1926 and grew up in Edesheim, Germany. Her father worked buying and selling wines, and they lived in wine country in the Palatinate. Alice grew up with an older brother and half-sister. Alice attended the public school in her village until Nazis prohibited Jews from attending public schools, at which point she went to a Jewish school in Landau. Alice enjoyed celebrating Jewish holidays with her family as a child and would walk with her family to and from Edenkoben each week to attend synagogue. In November of 1938, Alice and her family were forced by the Nazis to leave Edesheim. Alice lived elsewhere in Germany before eventually leaving on the <i>Kindertransport</i> to France.",,5,Square,Red,,,,,,,"8.133333, 49.266667, 2000",,"where: 8.133333, 49.266667, 2000",u-edesheim,,
03/23/1939,05/01/1940,La Guette,"Alice lived at Château de la Guette, which was located outside of Paris in Seine-et-Marne.",,2,Square,Red,,,,,,,"2.774872, 48.820297, 2000",,"where: 2.774872, 48.820297, 2000",u-guette,,
05/02/1940,04/1941,La Bourboule,"Alice and the other La Guette children fled La Guette as the Germans approached northern France. They went to La Bourboule, where they lived in a hotel building, Hôtel des Anglais.",,1,Square,Red,,,,,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",u-anglais,,
04/1941,04/1941,Gurs,Alice and at least five other La Guette children visited their parents and family members at Gurs concentration camp in April of 1941.,,0,Square,Red,,,,,,,"-0.731667, 43.264722, 2000",,"where: -0.731667, 43.264722, 2000",u-gurs,,
04/1941,05/1941,La Bourboule,After Alice's trip to Gurs with the other La Guette children they returned to Hôtel des Anglais in La Bourboule. Alice continued to live there until she was selected to go the United States.,,5,Square,Red,,,,,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",u-bourboule,,
05/31/1941,05/31/1941,Marseille,"A group of 111 children going to the US, including Alice and other children from the La Guette group, was scheduled to leave Marseille on the morning of Saturday, May 31, 1941.",,4,Square,Red,,,,,,,"5.4051, 43.3205, 2000",,"where: 5.4051, 43.3205, 2000",u-marseille,,
05/31/1941,05/31/1941,,"<b>Toulouse</b><br>The group of 111 children was scheduled to arrive in Toulouse in the afternoon of Saturday, May 31, 1941 and stay in Toulouse for a few hours. The American Quakers were planning to receive the group.",,3,Square,Red,,,,,,,"1.444, 43.6045, 2000",,"where: 1.444, 43.6045, 2000",u-toulouse,,
05/31/1941,06/01/1941,,"<b>Pau</b><br>The group arrived in Pau the evening of May 31 and spent the night in Pau. They left the next morning, Sunday, June 1st.",,2,Square,Red,,,,,,,"-0.37, 43.3, 2000",,"where: -0.37, 43.3, 2000",u-pau,,
06/01/1941,06/01/1941,,"<b>Oloron</b><br>The group stopped at the Oloron Train Station. Parents of the Jewish children who were interned at the concentration camp Gurs were given permission to meet their children at the train station to see them one more time. Though the train was only supposed to stop for three minutes, the officials agreed to stop the train for about 15 minutes so that the children and parents had more time together. The children had saved their meager ration of bread from the previous day to give to their parents, who were emaciated and often unrecognizable to the children. After the time had passed the children had to re-board the train and leave their parents behind.",,1,Square,Red,,,,,,,"-0.6056, 43.1947, 2000",,"where: -0.6056, 43.1947, 2000",u-oloron,,
06/01/1941,06/01/1941,,<b>Canfranc</b><br>The group was scheduled to cross the border into Spain and arrive in Canfranc in the morning of June 1st. They continued on later that afternoon.,,0,Square,Red,,,,,,,"-0.5255, 42.7155, 2000",,"where: -0.5255, 42.7155, 2000",u-canfranc,,
06/01/1941,06/02/1941,,"<b>Saragossa</b>: The group was scheduled to arrive in Saragossa, Spain later that evening and sleep overnight in the train.",,5,Square,Red,,,,,,,"-0.883333, 41.65, 2000",,"where: -0.883333, 41.65, 2000",u-saragossa,,
06/02/1941,06/02/1941,Madrid,The group arrived in Madrid in the morning of June 2. They first went to a convent and then were taken to see Madrid. Around 9 pm the group left for the station and continued their journey by train.,,4,Square,Red,,,,,,,"-3.7038, 40.4168, 2000",,"where: -3.7038, 40.4168, 2000",u-madrid,,
06/03/1941,06/10/1941,Lisbon,"The group arrived in Lisbon, Portugal and went to Colonia Balnear Infants de Seculo in Lisbon. They stayed in Lisbon for a week before boarding the SS <i>Mouzinho</i> for their journey to the United States. The ship left Lisbon on June 10, 1941.",,3,Square,Red,,,,,,,"-9.1386, 38.7230, 2000",,"where: -9.1386, 38.7230, 2000",u-lisbon,,
06/21/1941,08/1941,New York City,"The group of children arrived in the New York City on June 21, 1941. Alice stayed in New York City for a brief period before being sent to California.",,2,Square,Red,,,,,,,"-73.9780, 40.7308, 2000",,"where: -73.9780, 40.7308, 2000",u-newyork,,
09/1941,,San Francisco,"Alice was sent to San Francisco, where she was placed in a Jewish orphanage. Families would come to the orphanage to choose children, and eventually Alice was selected by a family that lived in Sacramento.",,1,Square,Red,,,,,,,"-122.416667, 37.783333, 2000",,"where: -122.416667, 37.783333, 2000",u-sanfrancisco,,
01/1942,,,<b>Sacramento</b>: Alice went to Sacramento with the family that took her in and she lived with them in Sacramento for about two and a half years. Alice attended school and when she was at home she was tasked with helping out in the household. She served as a caretaker for the other two children in the family and did much of the housework.,,0,Square,Red,,,,,,,"-121.468889, 38.555556, 2000",,"where: -121.468889, 38.555556, 2000",u-sacramento,,
01/1947,,,"<b>Berkeley</b><br>Alice briefly attended the University of California, Berkeley before she transferred to San Jose State University to study occupational therapy.",,5,Square,Red,,,,,,,"-122.259, 37.87, 2000",,"where: -122.259, 37.87, 2000",u-berkeley,,
01/1948,,,"<b>San Jose</b><br>Alice transferred from the University of California, Berkeley to San Jose State University in order to study occupational therapy. She graduated from San Jose State. After graduating, Alice worked in Naperville, IL for about 3 years, where she ran an occupational therapy department.",,4,Square,Red,,,,,,,"-121.9, 37.333333, 2000",,"where: -121.9, 37.333333, 2000",u-sanjose,,
01/1955,01/2010,Los Angeles,"After returning to California from Illinois, Alice spent most of the rest of her life living and working in California. Most of this time was spent in the Los Angeles area. Alice had a long career and valued spending time with fellow her La Guette survivors in Southern California. Alice passed away in Long Beach, California in 2010.",,2,Square,Red,,,,,,,"-118.25, 34.05, 2000",,"where: -118.25, 34.05, 2000",u-angeles,,
,,,,,,,,,,,,,,,,,,,
,,Alice B.'s Journey,,,,,,,,,,,,,,,,,
06/1929,03/15/1939,Vienna,"Alice B. was born in Vienna in 1929. She grew up with her parents and older brother Herbert. Following the rise of Nazism in Germany, Alice’s relatives came to live with her family in Austria for a time to get out of Germany. In 1938 with the <i>Anschluss</i> of Austria, Alice too experienced Nazi rule and her everyday life suddenly changed. She was no longer allowed to attend her public school and had to attend a Jewish school. She could not enjoy many of the public places she had previously gone with her family and they spent a lot of time at home. On <i>Kristallnacht</i>, Alice's father was arrested with other Jewish men. However, he was soon released because he was a veteran. The family attempted to get visas to leave the country, but it was difficult to secure necessary funds to get away. As a result, Alice's parents signed her and her brother up for the <i>Kindertransport</i> to France.",,5,Square,Orange,,,,,,,"16.366667, 48.2, 2000",,"where: 16.366667, 48.2, 2000",r-vienna,,
03/28/1939,07/01/1939,,"<b>La Guette</b>: Following their stay at Château de Maubuisson, Alice and her brother arrived with other children at the Rothschild family's hunting estate Château de la Guette in Villeneuve-Saint-Denis. Alice describes the group's arrival at La Guette by saying, ""And here we were, most of us were either from poor, middle-class people; the rich had been able to leave. So we were really awed of the beauty of the place, it was very beautiful. They had, the entrance with marble floors and red velvet walls and the dining room was all wooden with parquet floor, it was – we all tiptoed around for the first few days, that changed of course."" Alice had a positive experience at La Guette in regards to the education, ""And we had these four really great educators, they were called, sort of combination teacher counselors, and they started a children’s republic."" However, she also was very lonely and sad during some of her stay at La Guette, particularly when her brother was sent to live at a boarding school.",,2,Square,Orange,,,,,,,"2.774872, 48.820297, 2000",,"where: 2.774872, 48.820297, 2000",r-guette,,
05/02/1940,12/1941,Hôtel des Anglais,"From Château de la Guette, Alice was sent with other La Guette children on a crowded train ride to Hôtel des Anglais in La Bourboule. The La Guette group was among others fleeing the German advance into northern France, and Alice says that they got out just in time to avoid bombing and the occupation of northern France. Alice and the other La Guette children would take walks during their stay in La Bourboule, ""That’s where we went, we had to go for walks after every lunch, rain or shine, that was the French way of educating the children..."" While living at Hôtel des Anglais, Alice was one of a small number of La Guette children who attended a public school, which allowed her some time away from the cold and poor conditions at Hôtel des Anglais. She was in a heated building at school and also was given some extra food by one of her friends at the school. Eventually, Alice's brother and some of the other boys who had been living elsewhere joined the group again at Hôtel des Anglais, and Alice was elated to be reunited with him. However, he was later sent to a school in Brive-la-Gaillard and they were once again separated.",,1,Square,Orange,,,,,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",r-bourboule,,
12/1941,02/1944,Le Couret,"In December of 1941, Alice was placed with some other La Guette girls in the OSE children's home Le Couret in La Jonchère. The children at the home were from various children's homes and from French concentration camps. Of the La Guette children at this home, Alice says, “This children’s home there were thirteen of us children from La Guette, thirteen of us. All of the rest were kids from all over. Actually I met some of the children who had been to Maubuisson, the triage home, who had also wandered from one children’s home to the other.” It was warmer at Le Couret than in La Bourboule and there was greater food availability. However, conditions otherwise were not the best, and eventually roundups of older children began. Alice lived at Le Couret for about two years.",,0,Square,Orange,,,,,,,"-1.3736, 46.4572, 2000",,"where: -1.3736, 46.4572, 2000",r-jonchere,,
02/1944,03/1945,,"<b>Sèvres</b>: Following her time at Le Couret, Alice was placed at a secours national home in Sèvres. Alice was one of hidden Jewish children and adults at the home. Alice's Jewish identity was never discovered by officials and she lived in the secours national home until she was free after the liberation of France.",,5,Square,Orange,,,,,,,"2.2117, 48.8239, 2000",,"where: 2.2117, 48.8239, 2000",r-sevres,,
03/1945,05/1946,Lyon,"After living in Sèvres, Alice went to a children's home in Lyon run by Nathan and Helene Samuel. She became very close with the Samuels during her stay and they played an important role in her transition to post-war life.",,4,Square,Orange,,,,,,,"4.84, 45.76, 2000",,"where: 4.84, 45.76, 2000",r-lyon,,
05/1946,08/24/1946,,"<b>Paris:</b> Eventually, Alice's aunt and other relatives learned that she had survived and wanted to bring her to the United States to live with them. Alice moved to Paris as she prepared to leave for the United States. During this time she traveled many times to Haguenau (near Strasbourg) in order to visit the Samuels. On August 24, 1946, Alice left on the SS <i>Athos II</i> for the United States.",,3,Square,Orange,,,,,,,"2.3508, 48.8567, 2000",,"where: 2.3508, 48.8567, 2000",r-paris,,
09/07/1946,09/1953,New York City,"Alice's ship arrived in New York City on September 7, 1946. She lived with her aunt and her aunt's family in New York City and attended school. Eventually, she graduated high school and then attended and graduated from Queens College. During college she took time off to return to France, but saw that she was ""very Americanized"" and she went back to the United States. Alice studied economics in her undergraduate career and would later complete a Master's in French Literature. Alice met her husband soon after college and they were married in 1954. They would have two children and three grandchildren.",,2,Square,Orange,,,,,,,"-74.0059, 40.7127, 2000",,"where: -74.0059, 40.7127, 2000",r-newyorkcity,,
01/1964,05/2015,Boston Area,"Alice settled with her husband and two children in the Boston area. She passed away in Cambridge, Massachusetts in 2015.",,5,Square,Orange,,,,,,,"-71.110556, 42.373611, 2000",,"where: -71.110556, 42.373611, 2000",r-cambridge,,
,,,,,,,,,,,,,,,,,,,
,,Wartime Dispersion: Deportation,,,,,,,,,,,,,,,,,
05/1941,07/1941,La Bourboule,,,5,Diamond,Gray3,,,,,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",h-anglais,,
07/1941,08/26/1942,Brive-la-Gaillard,,,4,Diamond,Gray3,,,,,,,"1.496772, 45.150275, 2000",,"where: 1.496772, 45.150275, 2000",h-brive,,
08/26/1942,08/27/1942,Nexon,,,3,Diamond,Gray3,,,,,,,"1.1881, 45.6792, 2000",,"where: 1.1881, 45.6792, 2000",h-nexon,,
08/27/1942,08/31/1942,Drancy,,,2,Diamond,Gray3,,,,,,,"2.455, 48.92, 2000",,"where: 2.455, 48.92, 2000",h-drancy,,
09/1942,,"Cosel (Koźle), Silesia",,,1,Diamond,Gray3,,,,,,,"18.1458, 50.3353, 2000",,"where: 18.1458, 50.3353, 2000",h-cosel,,
,,,,,,,,,,,,,,,,,,,
,,Louis's Journey,,,,,,,,,,,,,,,,,
01/1926,3/21/1939,Berlin,"Louis (then Ludwig) was born in 1926 and he grew up with his parents outside of Berlin. His father was a businessman and his mother worked in a store. Louis was an avid soccer player and he preferred to play rather than do his chores or schoolwork. Louis and his family were Jewish but they were fairly assimilated, so Louis did not practice much Judaism at home. He did go to synagogue with his grandmother on the High Holidays. Louis remembers that as the Nazis came to power his neighbors came to the house at night to assist them. A bit before <i>Kristallnacht</i>, Louis's father was warned that he was in danger and he hid elsewhere for a few weeks.<p>Eventually, Louis's parents found a spot for him on the <i>Kindertransport</i> to France in order to escape Germany. Louis left on the <i>Kindertransport</i> around March 21, 1939. He remembers parting with his parents at the train station and states that, ""They were saying goodbye to me."" Louis recalls that the trip to France was scary because he was leaving home.",,5,Square,Gray3,,,,,,,"13.145833, 52.507222, 2000",,"where: 13.145833, 52.507222, 2000",p-berlin,,
